Country Code,Country Name,Score
AFG,Afghanistan,17.28
ALB,Albania,55.87
DZA,Algeria,50.24
ASM,American Samoa,42.01
AND,Andorra,58.63
AGO,Angola,45.4
ATG,Antigua and Barbuda,48.15
ARG,Argentina,61.37
ARM,Armenia,54.12
ABW,Aruba,56.98
AUS,Australia,83.08
AUT,Austria,76.37
AZE,Azerbaijan,54.13
BHS,The Bahamas,62.24
BHR,Bahrain,63.65
BGD,Bangladesh,48.81
BRB,Barbados,59.43
BLR,Belarus,51.05
BEL,Belgium,76.4
BLZ,Belize,47.12
BEN,Benin,39.81
BMU,Bermuda,68.58
BTN,Bhutan,39.13
BOL,Bolivia,43.32
BIH,Bosnia and Herzegovina,54.29
BWA,Botswana,53.78
BRA,Brazil,62.79
BRN,Brunei Darussalam,62.19
BGR,Bulgaria,63.07
BFA,Burkina Faso,34.69
BDI,Burundi,23.28
CPV,Cabo Verde,44.78
KHM,Cambodia,44.32
CMR,Cameroon,40.62
CAN,Canada,81.34
CYM,Cayman Islands,66.71
CAF,Central African Republic,24.34
TCD,Chad,34.35
CHI,Channel Islands,67.17
CHL,Chile,67.11
CHN,China,67.65
COL,Colombia,58.74
COM,Comoros,30.69
COD,Democratic Republic of Congo,34.92
COG,Republic of Congo,37.74
CRI,Costa Rica,63.03
CIV,Cote d'Ivoire,46.27
HRV,Croatia,65.18
CUB,Cuba,45.04
CUW,Curacao,49.27
CYP,Cyprus,67.48
CZE,Czechia,71.65
DNK,Denmark,79.69
DJI,Djibouti,39.19
DMA,Dominica,42.41
DOM,Dominican Republic,58.84
ECU,Ecuador,52.75
EGY,Egypt,48.42
SLV,El Salvador,47.77
GNQ,Equatorial Guinea,43.76
ERI,Eritrea,23.29
EST,Estonia,68.17
SWZ,Eswatini,40.14
ETH,Ethiopia,40.06
FRO,Faroe Islands,62.61
FJI,Fiji,45.3
FIN,Finland,76.06
FRA,France,77.27
PYF,French Polynesia,51.25
GAB,Gabon,50.06
GMB,The Gambia,30.37
GEO,Georgia,56.18
DEU,Germany,82.08
GHA,Ghana,44.12
GRC,Greece,65.22
GRL,Greenland,60.46
GRD,Grenada,39.54
GUM,Guam,59.52
GTM,Guatemala,53.63
GIN,Guinea,39.21
GNB,Guinea-Bissau,26.7
GUY,Guyana,59.69
HTI,Haiti,37.49
HND,Honduras,45.62
HKG,"Hong Kong SAR, China",77.25
HUN,Hungary,64.04
ISL,Iceland,72.01
IND,India,54.23
IDN,Indonesia,59.25
IRN,Iran,49.08
