Country Code,Country Name,Score
AFG,Afghanistan,41.4
ALB,Albania,74.6
DZA,Algeria,67.2
ASM,American Samoa,N/A
AND,Andorra,72
AGO,Angola,50
ATG,Antigua and Barbuda,66.5
ARG,Argentina,85.5
ARM,Armenia,74
ABW,Aruba,N/A
AUS,Australia,92.4
AUT,Austria,86.5
AZE,Azerbaijan,71.1
BHR,Bahrain,76.9
BGD,Bangladesh,52.9
BRB,Barbados,78.2
BLR,Belarus,83.8
BEL,Belgium,90.2
BLZ,Belize,69.5
BEN,Benin,47.8
BMU,Bermuda,N/A
BTN,Bhutan,49.6
BOL,Bolivia,69.5
BIH,Bosnia and Herzegovina,71.1
BWA,Botswana,67.6
BRA,Brazil,69.4
BRN,Brunei Darussalam,70.2
BGR,Bulgaria,77.9
BFA,Burkina Faso,31.2
BDI,Burundi,41.7
CPV,Cabo Verde,56.2
KHM,Cambodia,48.4
CMR,Cameroon,54.7
CAN,Canada,89.4
CYM,Cayman Islands,N/A
CAF,Central African Republic,35.3
TCD,Chad,28.8
CHI,Channel Islands,N/A
CHL,Chile,81
CHN,China,86.2
COL,Colombia,68.2
COM,Comoros,48.2
CRI,Costa Rica,72.6
CIV,Cote d'Ivoire,45.3
HRV,Croatia,80.5
CUB,Cuba,79
CUW,Curacao,N/A
CYP,Cyprus,82.7
CZE,Czechia,89
COD,Democratic Republic of Congo,N/A
DNK,Denmark,92
DJI,Djibouti,32.5
DMA,Dominica,63.2
DOM,Dominican Republic,66.6
ECU,Ecuador,70.2
EGY,Egypt,61.8
SLV,El Salvador,55.5
GNQ,Equatorial Guinea,46.7
ERI,Eritrea,26.9
EST,Estonia,88.2
SWZ,Eswatini,55.7
ETH,Ethiopia,34.1
FRO,Faroe Islands,N/A
FJI,Fiji,76.4
FIN,Finland,92.7
FRA,France,81.7
PYF,French Polynesia,N/A
GAB,Gabon,65
GEO,Georgia,86.2
DEU,Germany,94.3
GHA,Ghana,56.3
GRC,Greece,84.9
GRL,Greenland,N/A
GRD,Grenada,77
GUM,Guam,N/A
GTM,Guatemala,51.9
GIN,Guinea,35.4
GNB,Guinea-Bissau,41.4
GUY,Guyana,60.1
HTI,Haiti,45.6
HND,Honduras,49.9
HKG,"Hong Kong SAR, China",88
HUN,Hungary,82.1
ISL,Iceland,92.6
IND,India,55.5
IDN,Indonesia,65
IRN,Iran,75.6
IRQ,Iraq,55.7
IRL,Ireland,92.2
IMN,Isle of Man,N/A
ISR,Israel,88.3
ITA,Italy,79.3
JAM,Jamaica,68.9
JPN,Japan,85.1
JOR,Jordan,66.7
KAZ,Kazakhstan,84
KEN,Kenya,53.4
KIR,Kiribati,59.4
KOR,"Korea, Rep.",86.5
XKX,Kosovo,N/A
