Country Code,Country Name,Score
AFG,Afghanistan,31.0
ALB,Albania,52.2
DZA,Algeria,41.7
ASM,American Samoa,N/A
AND,Andorra,N/A
AGO,Angola,40.1
ATG,Antigua and Barbuda,55.6
ARG,Argentina,47.0
ARM,Armenia,44.9
ABW,Aruba,N/A
AUS,Australia,63.1
AUT,Austria,68.9
AZE,Azerbaijan,40.5
BHR,Bahrain,35.3
BGD,Bangladesh,28.1
BRB,Barbados,53.1
BLR,Belarus,58.2
BEL,Belgium,66.8
BLZ,Belize,47.4
BEN,Benin,37.8
BMU,Bermuda,N/A
BTN,Bhutan,43.3
BOL,Bolivia,45.3
BIH,Bosnia and Herzegovina,46.0
BWA,Botswana,49.2
BRA,Brazil,53.0
BRN,Brunei Darussalam,48.3
BGR,Bulgaria,56.2
BFA,Burkina Faso,42.2
BDI,Burundi,33.5
CPV,Cabo Verde,38.0
KHM,Cambodia,31.2
CMR,Cameroon,38.6
CAN,Canada,61.1
CYM,Cayman Islands,N/A
CAF,Central African Republic,39.0
TCD,Chad,35.9
CHI,Channel Islands,N/A
CHL,Chile,49.6
CHN,China,35.4
COL,Colombia,49.7
COM,Comoros,38.2
CRI,Costa Rica,55.5
CIV,Cote d'Ivoire,42.9
HRV,Croatia,62.3
CUB,Cuba,52.5
CUW,Curacao,N/A
CYP,Cyprus,53.9
CZE,Czechia,65.5
COD,Democratic Republic of Congo,39.5
DNK,Denmark,67.7
DJI,Djibouti,32.3
DMA,Dominica,49.3
DOM,Dominican Republic,47.7
ECU,Ecuador,51.3
EGY,Egypt,43.7
SLV,El Salvador,41.6
GNQ,Equatorial Guinea,41.7
ERI,Eritrea,29.0
EST,Estonia,75.7
SWZ,Eswatini,38.7
ETH,Ethiopia,36.3
FRO,Faroe Islands,N/A
FJI,Fiji,46.0
FIN,Finland,73.8
FRA,France,67.0
PYF,French Polynesia,N/A
GAB,Gabon,53.3
GEO,Georgia,47.3
DEU,Germany,74.5
GHA,Ghana,36.9
GRC,Greece,67.3
GRL,Greenland,N/A
GRD,Grenada,45.8
GUM,Guam,N/A
GTM,Guatemala,32.5
GIN,Guinea,36.5
GNB,Guinea-Bissau,N/A
GUY,Guyana,49.0
HTI,Haiti,36.4
HND,Honduras,40.2
HKG,"Hong Kong SAR, China",N/A
HUN,Hungary,59.8
ISL,Iceland,64.3
IND,India,27.6
IDN,Indonesia,33.6
IRN,Iran,41.8
IRQ,Iraq,30.3
IRL,Ireland,65.8
IMN,Isle of Man,N/A
ISR,Israel,48.0
ITA,Italy,60.3
