Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Libya,18.3,4.9,12.3,22.8,12.4,51.1
2,India,18.9,4.3,12.4,21.6,15.6,76.4
3,Pakistan,19.6,3.4,12.4,18.2,17.2,29.5
4,Afghanistan,21.1,2.3,12.7,18.2,15.1,40.6
5,Egypt,21.6,4.0,13.8,22.2,20.1,21.8
6,Madagascar,22.5,7.4,15.8,23.8,15.4,13.7
7,Nepal,22.6,2.9,13.8,23.2,17.4,29.4
8,Iran,22.8,8.0,16.2,20.7,16.2,30.3
9,Bangladesh,22.8,2.6,13.8,26.8,17.5,34.6
10,Syria,25.0,5.1,16.1,27.1,20.1,6.2
11,Rwanda,25.0,12.4,19.4,23.5,21.9,26.7
12,Indonesia,26.1,9.1,18.5,33.6,15.3,29.3
13,Vietnam,26.4,9.9,19.1,31.8,15.6,42.5
14,Tanzania,26.6,9.0,18.8,26.6,21.3,26.8
15,Uganda,27.0,10.5,19.6,29.1,25.1,19.6
16,Uzbekistan,27.3,12.2,20.6,30.1,23.0,47.8
17,Bolivia,27.3,8.6,19.0,28.4,22.2,43.6
18,Kyrgyzstan,27.3,12.0,20.4,27.6,23.6,40.6
19,Nigeria,27.7,22.8,25.5,31.4,21.0,8.3
20,Tajikistan,27.9,9.7,19.8,35.2,20.0,39.5
21,Algeria,28.0,3.5,17.1,37.2,16.5,36.3
22,Ukraine,28.2,8.2,19.2,28.8,25.4,50.0
23,Iraq,28.4,7.3,19.0,28.1,25.5,58.0
24,Paraguay,28.5,10.2,20.3,27.9,26.4,49.3
25,Kenya,28.9,7.8,19.5,30.4,25.9,35.9
26,Kosovo,29.1,7.6,19.5,30.8,24.2,60.5
27,Tunisia,29.1,5.3,18.5,34.9,17.9,35.8
28,Kazakhstan,29.8,10.9,21.4,30.0,31.2,55.3
29,Zambia,29.9,12.2,22.0,30.7,23.1,24.7
30,Brazil,30.1,8.5,20.5,30.0,26.0,46.1
31,Philippines,30.1,7.8,20.2,35.4,19.7,33.9
32,Belarus,30.5,10.3,21.5,30.8,33.3,63.9
33,China,30.5,10.4,21.5,34.7,21.0,94.0
34,Azerbaijan,30.7,9.7,21.3,29.2,35.3,40.3
35,Ecuador,30.9,8.7,21.0,33.8,27.0,48.4
36,Morocco,31.4,8.3,21.1,33.0,25.0,45.6
37,Mongolia,31.4,17.3,25.1,35.5,24.7,43.0
38,Colombia,31.7,10.9,22.4,32.8,27.0,39.9
39,Botswana,32.6,6.6,21.0,31.7,30.2,78.8
40,Georgia,33.1,12.7,24.0,32.3,36.2,43.0
41,Peru,33.5,11.3,23.6,37.7,28.3,48.5
42,Ghana,33.9,10.9,23.7,37.0,35.2,18.1
42,Ghana,33.9,10.9,23.7,37.0,35.2,18.1
43,Sri Lanka,33.9,7.2,22.0,48.1,24.3,19.0
44,Malaysia,34.0,9.2,22.9,42.0,25.2,80.1
45,Nicaragua,34.2,7.9,22.5,41.6,26.0,26.2
46,Fiji,34.3,17.2,26.7,43.3,32.5,59.9
47,Cambodia,34.8,10.0,23.7,41.6,25.4,22.7
48,North Macedonia,35.5,7.9,23.2,34.9,29.1,64.9
49,Moldova,35.8,14.7,26.4,33.6,32.5,54.1
50,Zimbabwe,35.9,9.6,24.2,35.0,33.8,27.6
51,Namibia,36.3,14.2,26.4,37.8,29.6,73.4
52,Russia,36.5,12.3,25.7,35.7,35.4,61.6
53,Honduras,36.6,12.1,25.7,39.8,34.1,41.3
54,Mozambique,36.9,12.2,25.9,34.1,35.1,30.9
55,South Africa,37.1,13.0,26.4,32.6,35.6,109.2
56,Venezuela,37.7,7.1,24.0,42.2,40.7,17.4
