Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Netherlands,213.6,136.6,74.5,81.5,73.4,7.5,22.3,20.9,86.9
2,Denmark,212.2,150.6,73.8,77.2,78.9,6.1,27.5,22.7,81.2
3,Luxembourg,211.9,167.0,66.8,74.2,78.0,9.4,26.4,22.7,82.6
4,Oman,207.6,156.3,81.6,63.5,43.6,3.8,24.9,36.5,71.3
5,Switzerland,206.2,176.1,72.6,71.2,110.7,11.4,34.5,24.3,80.7
6,Finland,204.4,132.6,73.5,77.6,69.0,7.2,25.0,11.8,54.4
7,Austria,199.8,123.2,71.5,78.9,71.3,9.9,23.2,20.4,76.6
8,Germany,196.3,142.0,61.6,72.4,68.7,7.9,28.8,28.2,82.9
9,Iceland,195.8,117.6,74.5,69.1,97.2,7.7,20.7,17.0,68.8
10,Norway,195.4,128.0,66.7,75.8,83.7,8.0,28.0,19.0,70.6
11,Estonia,190.7,90.3,76.8,75.2,59.7,10.5,20.9,16.1,71.2
12,Australia,189.6,142.0,52.5,72.0,67.9,8.2,38.6,27.9,91.9
13,Sweden,189.3,136.9,52.1,68.3,68.0,7.6,28.8,17.6,65.0
14,New Zealand,188.5,127.7,51.2,68.2,60.3,8.0,32.4,26.5,97.2
15,United States,186.0,151.6,50.8,67.0,68.8,3.5,33.8,37.2,75.8
16,Spain,185.8,108.0,62.4,77.2,51.6,8.5,26.5,35.3,92.8
17,Japan,185.6,121.1,77.2,80.1,47.5,11.4,40.1,37.8,83.8
18,Qatar,182.7,160.3,84.8,73.6,50.4,5.7,29.0,60.0,36.0
19,Slovenia,181.5,89.9,75.5,66.2,54.1,12.5,25.1,22.7,80.6
20,Lithuania,178.2,89.7,66.8,75.4,51.2,11.2,22.8,25.2,69.9
21,Croatia,176.6,88.7,75.7,65.1,52.4,12.8,25.0,31.8,87.1
22,United Kingdom,175.9,126.6,51.7,72.7,67.8,8.0,34.2,40.5,87.8
23,United Arab Emirates,175.5,131.9,86.0,70.8,55.2,7.4,36.0,48.3,43.4
24,Czech Republic,175.3,94.0,73.6,76.0,53.0,13.2,28.7,33.7,77.7
25,Belgium,175.2,127.5,50.8,76.4,68.6,6.1,32.7,46.8,86.5
26,Canada,172.0,123.5,54.4,68.6,63.0,7.5,33.4,29.7,54.9
27,France,169.8,121.5,44.2,77.0,67.7,8.6,34.4,43.5,89.6
28,Portugal,169.5,68.7,67.0,72.0,48.8,13.9,28.5,29.9,97.8
29,Ireland,167.7,119.0,51.0,51.2,70.6,6.9,37.3,34.7,89.5
30,Israel,167.7,123.1,68.2,73.4,79.7,12.2,36.8,56.5,93.8
31,Latvia,167.3,79.1,63.7,63.6,52.3,8.9,27.6,29.1,76.8
32,Saudi Arabia,165.3,136.0,76.7,62.2,43.9,4.3,30.8,61.7,38.6
33,Kuwait,162.7,182.8,67.4,58.6,42.5,6.5,34.7,69.4,20.2
34,Cyprus,159.6,90.5,66.7,56.7,58.8,8.1,25.1,55.3,92.3
35,Slovakia,158.6,80.1,68.9,58.2,49.6,12.6,27.5,36.8,73.9
36,Singapore,158.1,110.6,77.5,71.9,87.7,22.1,41.0,32.2,57.5
37,Poland,156.1,99.8,71.3,57.9,47.3,10.2,32.0,55.5,75.7
38,Taiwan,155.5,101.1,83.0,87.1,49.7,25.3,32.4,64.1,83.9
39,Puerto Rico,153.1,119.0,38.6,59.1,62.6,6.7,32.6,47.9,71.2
40,Italy,152.9,91.4,52.7,64.9,61.4,8.3,32.0,53.1,89.8
41,South Africa,150.9,112.0,25.5,64.0,37.1,3.3,38.4,56.9,95.7
42,South Korea,150.4,113.8,71.0,82.9,61.6,24.1,39.5,56.6,71.9
43,Bulgaria,148.3,85.9,64.5,58.3,41.6,8.4,28.8,62.6,81.2
44,Hungary,147.6,80.3,66.5,54.2,46.9,12.8,35.4,46.2,79.8
45,Romania,143.0,78.6,67.2,56.5,40.6,10.5,33.2,58.4,76.3
46,Turkey,142.1,74.7,58.5,71.3,39.2,7.3,43.4,63.9,90.0
47,Greece,140.8,65.4,53.8,58.9,54.0,12.5,32.3,49.2,93.0
48,Uruguay,139.1,56.3,47.5,68.5,55.6,13.3,40.0,42.8,98.3
49,Bosnia and Herzegovina,136.5,68.1,58.7,54.6,38.7,12.9,25.9,59.9,82.9
50,Belarus,135.7,65.5,51.5,49.6,30.5,10.7,31.3,44.2,68.5
51,Malta,135.3,83.9,57.0,53.3,56.8,10.6,27.9,75.7,97.8
52,Malaysia,135.2,81.8,52.0,70.7,34.0,8.8,37.1,60.6,58.1
53,China,134.8,96.4,76.9,69.2,30.5,21.5,38.5,76.2,74.4
54,Hong Kong,128.7,96.0,78.6,66.5,75.2,30.9,41.9,66.2,83.6
55,Ecuador,128.7,49.5,38.1,77.7,30.9,11.6,37.4,59.0,94.5
56,Serbia,127.6,64.7,63.0,52.1,42.6,14.8,30.6,65.8,82.7
57,Costa Rica,127.3,50.9,46.1,64.8,52.9,10.1,60.0,41.4,93.1
58,Georgia,126.6,44.2,73.8,56.3,33.1,13.0,37.0,67.8,88.5
59,Jordan,125.6,55.2,60.3,65.6,39.4,7.5,40.8,77.1,91.2
60,Mexico,125.3,49.8,47.1,72.3,42.6,13.3,39.2,58.3,86.6
61,North Macedonia,124.2,66.1,58.6,55.4,35.5,11.8,24.3,79.2,79.9
62,Argentina,123.4,48.6,36.8,67.8,41.3,13.7,43.9,50.4,95.4
63,India,122.3,77.8,55.8,65.5,18.9,11.0,46.5,72.8,65.2
64,Armenia,121.9,42.5,77.9,59.5,40.9,19.4,29.3,61.3,63.4
65,Panama,120.4,45.7,57.2,61.2,45.5,14.3,35.2,55.9,68.2
66,Brazil,117.8,47.2,36.0,59.3,30.1,15.2,40.4,52.8,92.5
67,Tunisia,117.6,36.3,55.1,56.6,29.1,12.8,33.0,69.5,94.3
68,Ukraine,117.1,51.1,53.1,55.8,28.2,12.8,37.8,62.2,71.3
69,Russia,115.6,63.2,61.8,61.6,36.5,13.7,43.3,58.4,38.0
70,Morocco,114.1,46.5,53.0,46.8,31.4,13.4,35.2,68.6,90.3
71,Azerbaijan,111.1,41.2,68.4,49.0,30.7,18.3,40.6,72.0,91.4
72,Chile,109.8,54.0,39.3,63.6,39.0,15.3,36.1,77.3,95.6
73,Kazakhstan,107.5,56.8,54.8,60.7,29.8,8.9,35.9,73.0,34.8
74,Thailand,106.8,46.7,63.4,77.5,38.0,24.0,38.0,75.6,68.0
75,Colombia,105.9,41.0,38.7,68.9,31.7,16.9,46.5,62.2,82.3
76,Albania,105.6,46.7,55.9,48.1,45.8,15.1,36.0,77.1,86.3
77,Kenya,99.4,36.7,44.9,62.2,28.9,17.0,51.6,69.0,87.1
78,Pakistan,98.3,29.9,57.6,59.5,19.6,18.7,38.2,73.3,67.1
79,Lebanon,98.2,38.4,53.1,63.7,41.7,17.8,38.5,89.3,94.7
80,Vietnam,92.5,43.7,59.9,62.2,26.4,30.2,29.5,83.7,71.1
81,Peru,92.3,49.7,33.1,56.9,33.5,15.0,50.0,81.9,93.3
82,Indonesia,91.1,30.0,53.6,61.2,26.1,25.0,43.0,68.0,66.5
83,Iran,88.0,31.1,49.2,52.8,22.8,17.2,47.1,75.2,69.0
84,Philippines,87.1,34.6,56.5,66.8,30.1,32.1,42.0,72.5,68.4
85,Egypt,81.9,22.2,53.6,47.9,21.6,20.4,47.6,82.5,85.3
86,Venezuela,75.2,17.7,19.6,39.9,37.7,15.1,32.6,73.6,79.9
87,Bangladesh,73.3,35.0,38.4,42.0,22.8,13.9,55.9,85.4,72.9
88,Sri Lanka,61.0,19.3,57.6,70.7,33.9,56.1,54.0,58.0,64.1
89,Nigeria,50.0,8.7,33.8,48.3,27.7,93.7,63.8,87.1,70.7
